country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","20-07-2026 15:00:00",16.554731,80.64911,SO2,11,29,23
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","20-07-2026 15:00:00",16.536107,80.594233,PM2.5,55,123,66
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","20-07-2026 15:00:00",16.536107,80.594233,CO,19,35,25
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-07-2026 15:00:00",17.72,83.3,PM10,70,148,107
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-07-2026 15:00:00",17.72,83.3,NO2,29,123,73
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","20-07-2026 15:00:00",17.72,83.3,SO2,3,21,11
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","20-07-2026 15:00:00",27.103358,93.679645,PM10,1,29,11
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","20-07-2026 15:00:00",27.103358,93.679645,NO2,7,8,8
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","20-07-2026 15:00:00",27.103358,93.679645,OZONE,6,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","20-07-2026 15:00:00",26.071318,91.87488,NO2,4,9,7
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","20-07-2026 15:00:00",25.859655,85.77944,NO2,8,8,8
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","20-07-2026 15:00:00",25.859655,85.77944,NH3,1,1,1
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","20-07-2026 15:00:00",24.952822,84.002396,SO2,0,5,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","20-07-2026 15:00:00",24.952822,84.002396,OZONE,2,17,12
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","20-07-2026 15:00:00",30.735567,76.775714,PM2.5,5,60,38
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","20-07-2026 15:00:00",30.735567,76.775714,SO2,4,6,5
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","20-07-2026 15:00:00",30.735567,76.775714,OZONE,4,9,6
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","20-07-2026 15:00:00",30.719859,76.738637,PM10,NA,NA,NA
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","20-07-2026 15:00:00",21.224231,81.40835,NO2,7,28,16
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","20-07-2026 15:00:00",21.224231,81.40835,CO,15,21,18
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","20-07-2026 15:00:00",21.194815,81.31477,NO2,3,14,7
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","20-07-2026 15:00:00",21.185571,81.343175,PM2.5,3,20,9
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","20-07-2026 15:00:00",21.185571,81.343175,OZONE,10,12,11
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","20-07-2026 15:00:00",22.08815,82.13737,PM2.5,9,73,23
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","20-07-2026 15:00:00",27.308328,84.531742,PM2.5,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","20-07-2026 15:00:00",27.308328,84.531742,NH3,0,2,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","20-07-2026 15:00:00",26.63086,84.90051,NO2,2,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","20-07-2026 15:00:00",25.376776,86.471523,NH3,2,3,3
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-07-2026 15:00:00",26.11442,85.39813,NH3,6,8,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-07-2026 15:00:00",26.11442,85.39813,SO2,3,17,9
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","20-07-2026 15:00:00",26.11442,85.39813,CO,20,21,20
