country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,O3,PM10,PM25,SO2,hour,day,month,weekday,is_weekend,season,AQI,NO,NOx,Benzene,Toluene,Xylene
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2026-07-20 15:00:00,24.75746,84.366208,102.0,1.0,8.0,6.0,0.0,0.0,0.0,15,20,7,0,0,Monsoon,10.0,,,,,
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2026-07-20 15:00:00,25.42742023,86.13886079,17.0,16.0,9.0,39.0,0.0,0.0,14.0,15,20,7,0,0,Monsoon,11.25,,,,,
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-07-20 15:00:00,26.80365,84.51954,40.0,3.0,27.0,23.0,0.0,0.0,12.0,15,20,7,0,0,Monsoon,33.75,,,,,
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-07-20 15:00:00,25.251013,86.989001,26.0,4.0,12.0,19.0,92.0,26.0,25.0,15,20,7,0,0,Monsoon,92.0,,,,,
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2026-07-20 15:00:00,25.265194,87.012947,8.0,2.0,7.0,19.0,0.0,0.0,15.0,15,20,7,0,0,Monsoon,8.75,,,,,
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-07-20 15:00:00,25.7808257,84.7446768,101.0,4.0,2.0,3.0,112.0,73.0,21.0,15,20,7,0,0,Monsoon,143.33333333333334,,,,,
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2026-07-20 15:00:00,24.792403,84.992416,43.0,1.0,12.0,50.0,0.0,120.0,43.0,15,20,7,0,0,Monsoon,300.0,,,,,
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-07-20 15:00:00,24.762518,84.982348,18.0,7.0,25.0,19.0,27.0,22.0,8.0,15,20,7,0,0,Monsoon,36.666666666666664,,,,,
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-07-20 15:00:00,25.697189,85.2459,25.0,11.0,8.0,32.0,45.0,42.0,3.0,15,20,7,0,0,Monsoon,70.0,,,,,
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-07-20 15:00:00,25.560083,87.553265,82.0,1.0,2.0,19.0,11.0,11.0,21.0,15,20,7,0,0,Monsoon,18.333333333333332,,,,,
